forest,effect.size.calc,study.design,include.qual,include.quant,author,title,year,journal,study.id,study.treat,es.id,measure.name,developer,delayed,hedges.g,variance,grade.level,no.disability,group.size.calc,content,prop.females.whole,prop.females.t1,prop.females.t2,prop.black.whole,prop.black.t1,prop.black.t2,prop.hispanic.whole,prop.hispanic.t1,prop.hispanic.t2,prop.white.whole,prop.white.t1,prop.white.t2,prop.native,prop.asian,prop.other.races,txt.name,txt.description,txt.n,txt.sessions,txt.sessions.minutes,algebra,early.numeracy,fractions,geometry,lifeskills,measurement,operations,word.problem,explicit.modeling,explicit.guided,explicit.indep,explicit.feedback,explicit.discourse,group.whole,group.small,group.one,group.size.original,control.name,control.description,qi.1.1,qi.2.1,qi.2.2,qi.3.1,qi.3.2,qi.4.1,qi.4.2,qi.5.1,qi.5.2,qi.5.3,qi.6.1,qi.6.2,qi.6.3,qi.6.4,qi.6.8,qi.6.9,qi.7.1,qi.7.2,qi.7.3,qi.7.4,qi.7.5,qi.7.6,qi.8.1,qi.8.3,qi.g.total,qi.percent,qi.1.1B,qi.2.1B,qi.2.2B,qi.3.1B,qi.3.2B,qi.4.1B,qi.4.2B,qi.5.1B,qi.5.2B,qi.5.3B,qi.6.1B,qi.6.2B,qi.6.3B,qi.6.5B,qi.6.6B,qi.6.7B,qi.7.1B,qi.7.2B,qi.7.3B,qi.7.4B,qi.7.5B,qi.8.2B,qi.s.total
"Agaliotis & Teli, 2016a",1,rct,1,1,"Agaliotis, Ioannis and Teli, Afroditi",Teaching Arithmetic Combinations of Multiplication and Division to Students with Learning Disabilities or Mild Intellectual Disability: The Impact of Alternative Fact Grouping and the Role of Cognitive and Learning Factors,2016,Journal of Education and Learning,102,102a,1003,Multiplication Fluency,0,0,0.10656,0.076919,elem,0,0,operations,0.26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental,Multiplicaiton and division ,23,24,32.5,NA,NA,NA,NA,NA,NA,1,NA,,1,1,1,,,NA,NA,,Control,Alternative groupings of multiplication and division facts,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,13,0.541666667,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8
"Agaliotis & Teli, 2016a",1,rct,1,1,"Agaliotis, Ioannis and Teli, Afroditi",Teaching Arithmetic Combinations of Multiplication and Division to Students with Learning Disabilities or Mild Intellectual Disability: The Impact of Alternative Fact Grouping and the Role of Cognitive and Learning Factors,2016,Journal of Education and Learning,102,102b,1004,Division Fluency,0,0,0.154368,0.077036,elem,0,0,operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental,Multiplicaiton and division ,23,24,32.5,NA,NA,NA,NA,NA,NA,1,NA,,1,1,1,,,NA,NA,,Control,Alternative groupings of multiplication and division facts,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,13,0.541666667,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8
"Al-Hmouz, 2018a",6,rct,1,1,"Al-Hmouz, H.","The Effectiveness of the Touch Math Program in Teaching Addition
  to Students with Math Disability",2018,Jordan Journal of Educational Sciences,104,104a,1005a,Calculation,1,0,0.2834,0.4404,elem,1,22,operations,0.52,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,1,Touch Math with M- CBM,"The Touch Math
  Program is a multisensory method for teaching
  addition by breaking down the task of adding into
  small, logical steps without requiring the storage of
  arithmetic facts in memory. This condition had an added component for progress monitoring using M-CBM",22,48,NA,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,NA,NA,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,17,0.708333333,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,16
"Al-Hmouz, 2018b",6,rct,1,1,"Al-Hmouz, H.","The Effectiveness of the Touch Math Program in Teaching Addition
  to Students with Math Disability",2018,Jordan Journal of Educational Sciences,104,104b,1005b,Calculation follow up,1,1,0.2892,0.4404,elem,1,22,operations,0.52,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,1,Touch Math with M- CBM,"The Touch Math
  Program is a multisensory method for teaching
  addition by breaking down the task of adding into
  small, logical steps without requiring the storage of
  arithmetic facts in memory. This condition had an added component for progress monitoring using M-CBM",22,48,NA,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,NA,NA,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,17,0.708333333,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,16
"Al-Makahleh,2011",23,qed,1,1,"Al-Makahleh, Ahmad Abdulhameed Aufan",The Effect of Direct Instruction Strategy on Math Achievement of Primary 4th and 5th Grade Students with Learning Difficulties,2011,International Education Studies,105,105,1007,Achievement Test,0,0,2.16320203,0.10669497,elem,1,22,mixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental Group,"training on basic Math skills using the Direct Instruction Strategy,",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,NA,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,5,0.208333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
"Alghamdi et al., 2020",7,scrd,1,1,"Alghamdi, Ahmed and Jitendra, Asha K. and Lein, Amy E.",Teaching Students with Mathematics Disabilities to Solve Multiplication and Division Word Problems: The Role of Schema-Based Instruction,2020,ZDM: The International Journal on Mathematics Education,103,103,1008,Percentage accuracy word problem solving ,0,0,2.353794663,1.149773154,elem,0,1,word problems,0,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0,Intervention,Schema-based instruction,3,13,30,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,,NA,1,1,Baseline,Core math instruction,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,14,0.818181818,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,18
"Amiripour et al., 2017",6,rct,1,1,"Amiripour, Parveneh and Dossey, John Arthur and Shahvarni, Ahmad",Using a New Schema Approach with Primary at Risk Students in Word Problem Solving,2017,REDIMAT - Journal of Research in Mathematics Education,106,106a,1009,Word Problem Pretest ,0,0,2.3245,0.5346,elem,1,25,word problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Problem Patterns,Schema-based word problem solving,50,60,NA,NA,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,,NA,NA,,Control,A traditional approach for teaching WPs was taught; Researcher followed the approach used in the Iranian textbook for each grade.,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,0.75,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,12
"Amiripour et al., 2017",6,rct,1,1,"Amiripour, Parveneh and Dossey, John Arthur and Shahvarni, Ahmad",Using a New Schema Approach with Primary at Risk Students in Word Problem Solving,2017,REDIMAT - Journal of Research in Mathematics Education,106,106b,1010,Word Problem Pretest ,0,0,2.697,0.4851,elem,1,25,word problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Problem Patterns,Schema-based word problem solving,50,60,NA,NA,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,,NA,NA,,Control,A traditional approach for teaching WPs was taught; Researcher followed the approach used in the Iranian textbook for each grade.,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,0.75,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,12
"Bangurah et al., 2007",1,rct,1,1,"Bangurah, Kolleh Harry Edward and Irvine-Belson, Sarah",The efficacy of manipulative material for improving the academic achievement and attitudes of at -risk middle school students,2007,ProQuest Dissertations and Theses,110,110,1015,Adding Integers Test,0,0,0.258844,0.118632,sec,1,12,algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manipulative group (Group A),Problem solving with manipulatives individually and in cooperative learning groups,17,15,90,1,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,1,NA,NA,12,Control (Group B),"Students in the control group
  practiced problems on paper; symbols and manipulative materials were not used with
  this group, but topics were in the same sequence for each group.",1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,0.791666667,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,13
"Bangurah et al., 2007",1,rct,1,1,"Bangurah, Kolleh Harry Edward and Irvine-Belson, Sarah",The efficacy of manipulative material for improving the academic achievement and attitudes of at -risk middle school students,2007,ProQuest Dissertations and Theses,110,110,1016,Subtracting Integers Test,0,0,0.416653,0.1202,sec,1,12,algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manipulative group (Group A),Problem solving with manipulatives individually and in cooperative learning groups,17,15,90,1,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,1,NA,NA,12,Control (Group B),"Students in the control group
  practiced problems on paper; symbols and manipulative materials were not used with
  this group, but topics were in the same sequence for each group.",1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,0.791666667,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,13
